----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv1d-1              [-1, 8, 1000]              48
            Conv1d-2              [-1, 8, 1000]              48
            Conv1d-3              [-1, 8, 1000]              48
            Conv1d-4              [-1, 8, 1000]              48
            Conv1d-5              [-1, 8, 1000]              48
            Conv1d-6              [-1, 1, 1000]               9
          RCNNCell-7  [[-1, 1, 1000], [-1, 1, 1000]]               0
            Conv1d-8              [-1, 8, 1000]              48
            Conv1d-9              [-1, 8, 1000]              48
           Conv1d-10              [-1, 8, 1000]              48
           Conv1d-11              [-1, 8, 1000]              48
           Conv1d-12              [-1, 8, 1000]              48
           Conv1d-13              [-1, 1, 1000]               9
         RCNNCell-14  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-15              [-1, 8, 1000]              48
           Conv1d-16              [-1, 8, 1000]              48
           Conv1d-17              [-1, 8, 1000]              48
           Conv1d-18              [-1, 8, 1000]              48
           Conv1d-19              [-1, 8, 1000]              48
           Conv1d-20              [-1, 1, 1000]               9
         RCNNCell-21  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-22              [-1, 8, 1000]              48
           Conv1d-23              [-1, 8, 1000]              48
           Conv1d-24              [-1, 8, 1000]              48
           Conv1d-25              [-1, 8, 1000]              48
           Conv1d-26              [-1, 8, 1000]              48
           Conv1d-27              [-1, 1, 1000]               9
         RCNNCell-28  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-29              [-1, 8, 1000]              48
           Conv1d-30              [-1, 8, 1000]              48
           Conv1d-31              [-1, 8, 1000]              48
           Conv1d-32              [-1, 8, 1000]              48
           Conv1d-33              [-1, 8, 1000]              48
           Conv1d-34              [-1, 1, 1000]               9
         RCNNCell-35  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-36              [-1, 8, 1000]              48
           Conv1d-37              [-1, 8, 1000]              48
           Conv1d-38              [-1, 8, 1000]              48
           Conv1d-39              [-1, 8, 1000]              48
           Conv1d-40              [-1, 8, 1000]              48
           Conv1d-41              [-1, 1, 1000]               9
         RCNNCell-42  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-43              [-1, 8, 1000]              48
           Conv1d-44              [-1, 8, 1000]              48
           Conv1d-45              [-1, 8, 1000]              48
           Conv1d-46              [-1, 8, 1000]              48
           Conv1d-47              [-1, 8, 1000]              48
           Conv1d-48              [-1, 1, 1000]               9
         RCNNCell-49  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-50              [-1, 8, 1000]              48
           Conv1d-51              [-1, 8, 1000]              48
           Conv1d-52              [-1, 8, 1000]              48
           Conv1d-53              [-1, 8, 1000]              48
           Conv1d-54              [-1, 8, 1000]              48
           Conv1d-55              [-1, 1, 1000]               9
         RCNNCell-56  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-57              [-1, 8, 1000]              48
           Conv1d-58              [-1, 8, 1000]              48
           Conv1d-59              [-1, 8, 1000]              48
           Conv1d-60              [-1, 8, 1000]              48
           Conv1d-61              [-1, 8, 1000]              48
           Conv1d-62              [-1, 1, 1000]               9
         RCNNCell-63  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-64              [-1, 8, 1000]              48
           Conv1d-65              [-1, 8, 1000]              48
           Conv1d-66              [-1, 8, 1000]              48
           Conv1d-67              [-1, 8, 1000]              48
           Conv1d-68              [-1, 8, 1000]              48
           Conv1d-69              [-1, 1, 1000]               9
         RCNNCell-70  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-71              [-1, 8, 1000]              48
           Conv1d-72              [-1, 8, 1000]              48
           Conv1d-73              [-1, 8, 1000]              48
           Conv1d-74              [-1, 8, 1000]              48
           Conv1d-75              [-1, 8, 1000]              48
           Conv1d-76              [-1, 1, 1000]               9
         RCNNCell-77  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-78              [-1, 8, 1000]              48
           Conv1d-79              [-1, 8, 1000]              48
           Conv1d-80              [-1, 8, 1000]              48
           Conv1d-81              [-1, 8, 1000]              48
           Conv1d-82              [-1, 8, 1000]              48
           Conv1d-83              [-1, 1, 1000]               9
         RCNNCell-84  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-85              [-1, 8, 1000]              48
           Conv1d-86              [-1, 8, 1000]              48
           Conv1d-87              [-1, 8, 1000]              48
           Conv1d-88              [-1, 8, 1000]              48
           Conv1d-89              [-1, 8, 1000]              48
           Conv1d-90              [-1, 1, 1000]               9
         RCNNCell-91  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-92              [-1, 8, 1000]              48
           Conv1d-93              [-1, 8, 1000]              48
           Conv1d-94              [-1, 8, 1000]              48
           Conv1d-95              [-1, 8, 1000]              48
           Conv1d-96              [-1, 8, 1000]              48
           Conv1d-97              [-1, 1, 1000]               9
         RCNNCell-98  [[-1, 1, 1000], [-1, 1, 1000]]               0
           Conv1d-99              [-1, 8, 1000]              48
          Conv1d-100              [-1, 8, 1000]              48
          Conv1d-101              [-1, 8, 1000]              48
          Conv1d-102              [-1, 8, 1000]              48
          Conv1d-103              [-1, 8, 1000]              48
          Conv1d-104              [-1, 1, 1000]               9
        RCNNCell-105  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-106              [-1, 8, 1000]              48
          Conv1d-107              [-1, 8, 1000]              48
          Conv1d-108              [-1, 8, 1000]              48
          Conv1d-109              [-1, 8, 1000]              48
          Conv1d-110              [-1, 8, 1000]              48
          Conv1d-111              [-1, 1, 1000]               9
        RCNNCell-112  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-113              [-1, 8, 1000]              48
          Conv1d-114              [-1, 8, 1000]              48
          Conv1d-115              [-1, 8, 1000]              48
          Conv1d-116              [-1, 8, 1000]              48
          Conv1d-117              [-1, 8, 1000]              48
          Conv1d-118              [-1, 1, 1000]               9
        RCNNCell-119  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-120              [-1, 8, 1000]              48
          Conv1d-121              [-1, 8, 1000]              48
          Conv1d-122              [-1, 8, 1000]              48
          Conv1d-123              [-1, 8, 1000]              48
          Conv1d-124              [-1, 8, 1000]              48
          Conv1d-125              [-1, 1, 1000]               9
        RCNNCell-126  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-127              [-1, 8, 1000]              48
          Conv1d-128              [-1, 8, 1000]              48
          Conv1d-129              [-1, 8, 1000]              48
          Conv1d-130              [-1, 8, 1000]              48
          Conv1d-131              [-1, 8, 1000]              48
          Conv1d-132              [-1, 1, 1000]               9
        RCNNCell-133  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-134              [-1, 8, 1000]              48
          Conv1d-135              [-1, 8, 1000]              48
          Conv1d-136              [-1, 8, 1000]              48
          Conv1d-137              [-1, 8, 1000]              48
          Conv1d-138              [-1, 8, 1000]              48
          Conv1d-139              [-1, 1, 1000]               9
        RCNNCell-140  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-141              [-1, 8, 1000]              48
          Conv1d-142              [-1, 8, 1000]              48
          Conv1d-143              [-1, 8, 1000]              48
          Conv1d-144              [-1, 8, 1000]              48
          Conv1d-145              [-1, 8, 1000]              48
          Conv1d-146              [-1, 1, 1000]               9
        RCNNCell-147  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-148              [-1, 8, 1000]              48
          Conv1d-149              [-1, 8, 1000]              48
          Conv1d-150              [-1, 8, 1000]              48
          Conv1d-151              [-1, 8, 1000]              48
          Conv1d-152              [-1, 8, 1000]              48
          Conv1d-153              [-1, 1, 1000]               9
        RCNNCell-154  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-155              [-1, 8, 1000]              48
          Conv1d-156              [-1, 8, 1000]              48
          Conv1d-157              [-1, 8, 1000]              48
          Conv1d-158              [-1, 8, 1000]              48
          Conv1d-159              [-1, 8, 1000]              48
          Conv1d-160              [-1, 1, 1000]               9
        RCNNCell-161  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-162              [-1, 8, 1000]              48
          Conv1d-163              [-1, 8, 1000]              48
          Conv1d-164              [-1, 8, 1000]              48
          Conv1d-165              [-1, 8, 1000]              48
          Conv1d-166              [-1, 8, 1000]              48
          Conv1d-167              [-1, 1, 1000]               9
        RCNNCell-168  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-169              [-1, 8, 1000]              48
          Conv1d-170              [-1, 8, 1000]              48
          Conv1d-171              [-1, 8, 1000]              48
          Conv1d-172              [-1, 8, 1000]              48
          Conv1d-173              [-1, 8, 1000]              48
          Conv1d-174              [-1, 1, 1000]               9
        RCNNCell-175  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-176              [-1, 8, 1000]              48
          Conv1d-177              [-1, 8, 1000]              48
          Conv1d-178              [-1, 8, 1000]              48
          Conv1d-179              [-1, 8, 1000]              48
          Conv1d-180              [-1, 8, 1000]              48
          Conv1d-181              [-1, 1, 1000]               9
        RCNNCell-182  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-183              [-1, 8, 1000]              48
          Conv1d-184              [-1, 8, 1000]              48
          Conv1d-185              [-1, 8, 1000]              48
          Conv1d-186              [-1, 8, 1000]              48
          Conv1d-187              [-1, 8, 1000]              48
          Conv1d-188              [-1, 1, 1000]               9
        RCNNCell-189  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-190              [-1, 8, 1000]              48
          Conv1d-191              [-1, 8, 1000]              48
          Conv1d-192              [-1, 8, 1000]              48
          Conv1d-193              [-1, 8, 1000]              48
          Conv1d-194              [-1, 8, 1000]              48
          Conv1d-195              [-1, 1, 1000]               9
        RCNNCell-196  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-197              [-1, 8, 1000]              48
          Conv1d-198              [-1, 8, 1000]              48
          Conv1d-199              [-1, 8, 1000]              48
          Conv1d-200              [-1, 8, 1000]              48
          Conv1d-201              [-1, 8, 1000]              48
          Conv1d-202              [-1, 1, 1000]               9
        RCNNCell-203  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-204              [-1, 8, 1000]              48
          Conv1d-205              [-1, 8, 1000]              48
          Conv1d-206              [-1, 8, 1000]              48
          Conv1d-207              [-1, 8, 1000]              48
          Conv1d-208              [-1, 8, 1000]              48
          Conv1d-209              [-1, 1, 1000]               9
        RCNNCell-210  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-211              [-1, 8, 1000]              48
          Conv1d-212              [-1, 8, 1000]              48
          Conv1d-213              [-1, 8, 1000]              48
          Conv1d-214              [-1, 8, 1000]              48
          Conv1d-215              [-1, 8, 1000]              48
          Conv1d-216              [-1, 1, 1000]               9
        RCNNCell-217  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-218              [-1, 8, 1000]              48
          Conv1d-219              [-1, 8, 1000]              48
          Conv1d-220              [-1, 8, 1000]              48
          Conv1d-221              [-1, 8, 1000]              48
          Conv1d-222              [-1, 8, 1000]              48
          Conv1d-223              [-1, 1, 1000]               9
        RCNNCell-224  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-225              [-1, 8, 1000]              48
          Conv1d-226              [-1, 8, 1000]              48
          Conv1d-227              [-1, 8, 1000]              48
          Conv1d-228              [-1, 8, 1000]              48
          Conv1d-229              [-1, 8, 1000]              48
          Conv1d-230              [-1, 1, 1000]               9
        RCNNCell-231  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-232              [-1, 8, 1000]              48
          Conv1d-233              [-1, 8, 1000]              48
          Conv1d-234              [-1, 8, 1000]              48
          Conv1d-235              [-1, 8, 1000]              48
          Conv1d-236              [-1, 8, 1000]              48
          Conv1d-237              [-1, 1, 1000]               9
        RCNNCell-238  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-239              [-1, 8, 1000]              48
          Conv1d-240              [-1, 8, 1000]              48
          Conv1d-241              [-1, 8, 1000]              48
          Conv1d-242              [-1, 8, 1000]              48
          Conv1d-243              [-1, 8, 1000]              48
          Conv1d-244              [-1, 1, 1000]               9
        RCNNCell-245  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-246              [-1, 8, 1000]              48
          Conv1d-247              [-1, 8, 1000]              48
          Conv1d-248              [-1, 8, 1000]              48
          Conv1d-249              [-1, 8, 1000]              48
          Conv1d-250              [-1, 8, 1000]              48
          Conv1d-251              [-1, 1, 1000]               9
        RCNNCell-252  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-253              [-1, 8, 1000]              48
          Conv1d-254              [-1, 8, 1000]              48
          Conv1d-255              [-1, 8, 1000]              48
          Conv1d-256              [-1, 8, 1000]              48
          Conv1d-257              [-1, 8, 1000]              48
          Conv1d-258              [-1, 1, 1000]               9
        RCNNCell-259  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-260              [-1, 8, 1000]              48
          Conv1d-261              [-1, 8, 1000]              48
          Conv1d-262              [-1, 8, 1000]              48
          Conv1d-263              [-1, 8, 1000]              48
          Conv1d-264              [-1, 8, 1000]              48
          Conv1d-265              [-1, 1, 1000]               9
        RCNNCell-266  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-267              [-1, 8, 1000]              48
          Conv1d-268              [-1, 8, 1000]              48
          Conv1d-269              [-1, 8, 1000]              48
          Conv1d-270              [-1, 8, 1000]              48
          Conv1d-271              [-1, 8, 1000]              48
          Conv1d-272              [-1, 1, 1000]               9
        RCNNCell-273  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-274              [-1, 8, 1000]              48
          Conv1d-275              [-1, 8, 1000]              48
          Conv1d-276              [-1, 8, 1000]              48
          Conv1d-277              [-1, 8, 1000]              48
          Conv1d-278              [-1, 8, 1000]              48
          Conv1d-279              [-1, 1, 1000]               9
        RCNNCell-280  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-281              [-1, 8, 1000]              48
          Conv1d-282              [-1, 8, 1000]              48
          Conv1d-283              [-1, 8, 1000]              48
          Conv1d-284              [-1, 8, 1000]              48
          Conv1d-285              [-1, 8, 1000]              48
          Conv1d-286              [-1, 1, 1000]               9
        RCNNCell-287  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-288              [-1, 8, 1000]              48
          Conv1d-289              [-1, 8, 1000]              48
          Conv1d-290              [-1, 8, 1000]              48
          Conv1d-291              [-1, 8, 1000]              48
          Conv1d-292              [-1, 8, 1000]              48
          Conv1d-293              [-1, 1, 1000]               9
        RCNNCell-294  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-295              [-1, 8, 1000]              48
          Conv1d-296              [-1, 8, 1000]              48
          Conv1d-297              [-1, 8, 1000]              48
          Conv1d-298              [-1, 8, 1000]              48
          Conv1d-299              [-1, 8, 1000]              48
          Conv1d-300              [-1, 1, 1000]               9
        RCNNCell-301  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-302              [-1, 8, 1000]              48
          Conv1d-303              [-1, 8, 1000]              48
          Conv1d-304              [-1, 8, 1000]              48
          Conv1d-305              [-1, 8, 1000]              48
          Conv1d-306              [-1, 8, 1000]              48
          Conv1d-307              [-1, 1, 1000]               9
        RCNNCell-308  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-309              [-1, 8, 1000]              48
          Conv1d-310              [-1, 8, 1000]              48
          Conv1d-311              [-1, 8, 1000]              48
          Conv1d-312              [-1, 8, 1000]              48
          Conv1d-313              [-1, 8, 1000]              48
          Conv1d-314              [-1, 1, 1000]               9
        RCNNCell-315  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-316              [-1, 8, 1000]              48
          Conv1d-317              [-1, 8, 1000]              48
          Conv1d-318              [-1, 8, 1000]              48
          Conv1d-319              [-1, 8, 1000]              48
          Conv1d-320              [-1, 8, 1000]              48
          Conv1d-321              [-1, 1, 1000]               9
        RCNNCell-322  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-323              [-1, 8, 1000]              48
          Conv1d-324              [-1, 8, 1000]              48
          Conv1d-325              [-1, 8, 1000]              48
          Conv1d-326              [-1, 8, 1000]              48
          Conv1d-327              [-1, 8, 1000]              48
          Conv1d-328              [-1, 1, 1000]               9
        RCNNCell-329  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-330              [-1, 8, 1000]              48
          Conv1d-331              [-1, 8, 1000]              48
          Conv1d-332              [-1, 8, 1000]              48
          Conv1d-333              [-1, 8, 1000]              48
          Conv1d-334              [-1, 8, 1000]              48
          Conv1d-335              [-1, 1, 1000]               9
        RCNNCell-336  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-337              [-1, 8, 1000]              48
          Conv1d-338              [-1, 8, 1000]              48
          Conv1d-339              [-1, 8, 1000]              48
          Conv1d-340              [-1, 8, 1000]              48
          Conv1d-341              [-1, 8, 1000]              48
          Conv1d-342              [-1, 1, 1000]               9
        RCNNCell-343  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-344              [-1, 8, 1000]              48
          Conv1d-345              [-1, 8, 1000]              48
          Conv1d-346              [-1, 8, 1000]              48
          Conv1d-347              [-1, 8, 1000]              48
          Conv1d-348              [-1, 8, 1000]              48
          Conv1d-349              [-1, 1, 1000]               9
        RCNNCell-350  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-351              [-1, 8, 1000]              48
          Conv1d-352              [-1, 8, 1000]              48
          Conv1d-353              [-1, 8, 1000]              48
          Conv1d-354              [-1, 8, 1000]              48
          Conv1d-355              [-1, 8, 1000]              48
          Conv1d-356              [-1, 1, 1000]               9
        RCNNCell-357  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-358              [-1, 8, 1000]              48
          Conv1d-359              [-1, 8, 1000]              48
          Conv1d-360              [-1, 8, 1000]              48
          Conv1d-361              [-1, 8, 1000]              48
          Conv1d-362              [-1, 8, 1000]              48
          Conv1d-363              [-1, 1, 1000]               9
        RCNNCell-364  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-365              [-1, 8, 1000]              48
          Conv1d-366              [-1, 8, 1000]              48
          Conv1d-367              [-1, 8, 1000]              48
          Conv1d-368              [-1, 8, 1000]              48
          Conv1d-369              [-1, 8, 1000]              48
          Conv1d-370              [-1, 1, 1000]               9
        RCNNCell-371  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-372              [-1, 8, 1000]              48
          Conv1d-373              [-1, 8, 1000]              48
          Conv1d-374              [-1, 8, 1000]              48
          Conv1d-375              [-1, 8, 1000]              48
          Conv1d-376              [-1, 8, 1000]              48
          Conv1d-377              [-1, 1, 1000]               9
        RCNNCell-378  [[-1, 1, 1000], [-1, 1, 1000]]               0
          Conv1d-379              [-1, 8, 1000]              48
          Conv1d-380              [-1, 8, 1000]              48
          Conv1d-381              [-1, 8, 1000]              48
          Conv1d-382              [-1, 8, 1000]              48
          Conv1d-383              [-1, 8, 1000]              48
          Conv1d-384              [-1, 1, 1000]               9
        RCNNCell-385  [[-1, 1, 1000], [-1, 1, 1000]]               0
